City, State, Population
New York, NY, 8175133
Los Angeles, CA, 3792621
Chicago, IL, 2695598
Houston, TX, 2100263
Philadelphia, PA, 1526006
Phoenix, AZ, 1445632
San Antonio, TX, 1327407
San Diego, CA, 1307402
Dallas, TX, 1197816
San Jose, CA, 945942
Jacksonville, FL, 821784
Indianapolis, IN, 820445
San Francisco, CA, 805235
Austin, TX, 790390
Columbus, OH, 787033
Fort Worth, TX, 741206
Charlotte, NC, 731424
Detroit, MI, 713777
El Paso, TX, 649121
Memphis, TN, 646889 
Baltimore, MD, 620961
Boston, MA,  617594
Seattle, WA, 608660
Washington, DC, 601723
